param_type,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,OUTPUTS,OUTCOME,FAIRNESS
181,A12,3,A33,A49,<= 6000,A61,A73,2,A91,A101,2,A121,<= 60,A142,A152,2,A174,1,A192,A201,2,FAIL,UNFAIR
182,A11,1,A31,A40,<= 3000,A65,A73,4,A93,A101,2,A122,<= 60,A143,A152,2,A172,2,A191,A201,2,FAIL,FAIR
183,A14,2,A34,A42,<= 6000,A64,A73,4,A93,A101,4,A121,<= 60,A143,A152,1,A173,1,A192,A201,1,PASS,FAIR
184,A12,1,A34,A40,<= 3000,A61,A75,4,A93,A101,4,A123,<= 60,A141,A152,1,A173,2,A192,A201,2,FAIL,UNFAIR
185,A14,1,A34,A43,<= 3000,A61,A73,4,A93,A101,2,A122,<= 60,A143,A152,2,A173,1,A191,A201,1,PASS,UNFAIR
186,A12,0,A31,A41,<= 6000,A61,A75,2,A92,A101,4,A124,> 60,A141,A153,1,A174,2,A192,A201,2,FAIL,UNFAIR
187,A12,1,A34,A40,<= 3000,A61,A71,2,A93,A101,3,A123,> 60,A143,A153,3,A171,1,A192,A201,1,PASS,UNFAIR
188,A11,1,A32,A43,<= 3000,A62,A74,4,A94,A101,1,A122,<= 30,A143,A152,1,A173,1,A191,A201,2,FAIL,UNFAIR
189,A12,1,A30,A42,<= 6000,A61,A73,1,A92,A101,4,A123,<= 60,A141,A152,2,A173,1,A192,A201,1,PASS,UNFAIR
190,A14,2,A32,A49,<= 6000,A64,A73,2,A93,A101,3,A122,<= 60,A143,A152,3,A174,1,A192,A201,2,FAIL,FAIR
191,A12,4,A30,A49,<= 6000,A62,A74,4,A93,A101,4,A124,<= 60,A143,A153,1,A172,2,A191,A201,2,FAIL,UNFAIR
192,A12,2,A32,A49,<= 6000,A61,A73,4,A93,A101,2,A123,<= 60,A143,A152,1,A173,2,A192,A201,2,FAIL,UNFAIR
193,A14,0,A32,A43,<= 3000,A61,A74,2,A94,A101,2,A121,<= 30,A143,A151,1,A173,1,A191,A201,1,PASS,UNFAIR
194,A12,3,A32,A43,<= 6000,A62,A73,4,A93,A103,4,A122,<= 30,A143,A151,1,A173,1,A191,A201,2,FAIL,UNFAIR
195,A12,0,A34,A46,<= 3000,A61,A75,2,A92,A101,3,A123,<= 60,A143,A152,2,A174,1,A192,A201,2,FAIL,UNFAIR
196,A14,0,A34,A43,<= 3000,A61,A73,1,A92,A101,1,A123,<= 30,A143,A152,2,A173,1,A192,A201,1,PASS,UNFAIR
197,A12,1,A32,A42,<= 3000,A62,A72,4,A92,A101,4,A123,<= 30,A141,A151,4,A173,1,A191,A201,2,FAIL,UNFAIR
198,A12,2,A32,A41,<= 3000,A65,A75,4,A93,A101,4,A124,<= 60,A141,A153,1,A173,1,A192,A201,1,PASS,FAIR
199,A12,1,A33,A42,<= 6000,A61,A75,4,A91,A101,3,A124,<= 60,A143,A152,1,A174,1,A192,A201,2,FAIL,UNFAIR
200,A14,0,A34,A46,<= 3000,A63,A75,4,A93,A101,2,A123,<= 60,A143,A152,2,A173,1,A192,A201,1,PASS,FAIR
201,A11,1,A32,A40,<= 3000,A61,A73,4,A94,A101,3,A121,<= 30,A143,A152,1,A172,1,A191,A201,1,PASS,UNFAIR
202,A14,2,A33,A49,<= 6000,A61,A74,3,A93,A101,4,A123,<= 30,A143,A152,2,A173,1,A191,A201,1,PASS,UNFAIR
203,A11,1,A32,A48,<= 3000,A61,A74,4,A94,A101,4,A122,<= 30,A143,A151,1,A173,1,A191,A201,2,FAIL,UNFAIR
204,A14,1,A34,A40,<= 3000,A61,A75,4,A93,A101,1,A121,<= 60,A143,A152,2,A172,2,A191,A201,1,PASS,UNFAIR
205,A11,2,A34,A41,<= 12000,A61,A75,3,A93,A101,4,A124,<= 60,A143,A153,3,A174,2,A192,A201,1,PASS,UNFAIR
206,A14,1,A34,A42,<= 3000,A61,A75,4,A93,A101,4,A121,<= 60,A143,A152,3,A173,1,A192,A201,1,PASS,UNFAIR
207,A12,1,A34,A44,<= 3000,A61,A74,4,A93,A101,3,A122,<= 30,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
208,A11,2,A32,A49,<= 9000,A61,A73,2,A94,A101,2,A123,<= 30,A142,A152,1,A172,1,A191,A201,1,PASS,UNFAIR
209,A14,1,A32,A41,<= 3000,A64,A74,3,A93,A101,2,A122,<= 60,A143,A152,1,A173,1,A191,A202,1,PASS,FAIR
210,A14,0,A34,A43,<= 6000,A65,A73,1,A93,A101,2,A121,<= 60,A143,A152,2,A173,2,A191,A201,1,PASS,FAIR
211,A14,3,A32,A43,<= 6000,A65,A75,2,A92,A101,4,A121,<= 60,A143,A152,1,A172,1,A192,A201,1,PASS,FAIR
212,A11,2,A30,A49,<= 6000,A61,A71,2,A93,A101,4,A122,<= 60,A142,A152,2,A173,1,A192,A201,2,FAIL,UNFAIR
213,A13,2,A33,A49,<= 3000,A61,A75,4,A93,A101,4,A121,> 60,A143,A152,1,A174,1,A192,A201,2,FAIL,UNFAIR
214,A14,3,A34,A43,<= 6000,A65,A75,4,A93,A101,2,A123,<= 60,A143,A152,1,A173,1,A192,A201,1,PASS,FAIR
215,A12,0,A34,A48,<= 3000,A65,A74,1,A92,A101,3,A122,<= 60,A143,A152,2,A172,1,A191,A201,1,PASS,FAIR
216,A11,1,A30,A49,<= 6000,A61,A74,3,A93,A101,1,A122,<= 60,A141,A152,1,A173,1,A192,A201,1,PASS,UNFAIR
217,A13,3,A32,A43,<= 6000,A61,A73,2,A93,A101,2,A121,<= 30,A143,A152,1,A173,1,A192,A201,1,PASS,UNFAIR
218,A11,2,A32,A42,<= 6000,A61,A73,2,A91,A101,2,A121,<= 30,A143,A151,1,A172,1,A191,A201,1,PASS,UNFAIR
219,A14,0,A32,A40,<= 3000,A61,A73,2,A92,A101,4,A123,> 60,A143,A152,1,A173,1,A192,A201,1,PASS,UNFAIR
220,A12,1,A32,A43,<= 3000,A61,A72,4,A94,A103,1,A121,<= 30,A141,A152,1,A172,1,A191,A201,1,PASS,UNFAIR
221,A11,1,A32,A46,<= 3000,A65,A73,4,A92,A101,4,A122,<= 30,A141,A151,1,A173,1,A192,A201,1,PASS,FAIR
222,A14,1,A32,A43,<= 3000,A61,A73,4,A93,A101,2,A121,<= 60,A141,A152,2,A173,1,A191,A201,1,PASS,UNFAIR
223,A14,2,A33,A49,<= 3000,A65,A73,4,A93,A101,4,A121,<= 60,A143,A152,2,A173,2,A192,A201,1,PASS,FAIR
224,A14,1,A32,A41,<= 6000,A61,A73,3,A93,A101,2,A123,<= 60,A143,A152,1,A173,1,A192,A201,1,PASS,UNFAIR
225,A14,3,A30,A45,<= 3000,A61,A73,4,A93,A101,2,A123,<= 30,A143,A152,2,A173,1,A191,A201,1,PASS,UNFAIR
226,A12,4,A32,A43,<= 12000,A64,A74,1,A93,A102,2,A124,<= 30,A141,A152,2,A173,1,A192,A201,2,FAIL,FAIR
227,A11,1,A32,A42,<= 9000,A61,A75,4,A93,A101,4,A124,<= 60,A143,A153,1,A174,1,A192,A201,2,FAIL,UNFAIR
228,A14,0,A32,A43,<= 3000,A61,A74,4,A93,A101,2,A123,<= 30,A143,A152,1,A173,1,A191,A201,2,FAIL,UNFAIR
229,A11,2,A32,A42,<= 6000,A61,A72,4,A93,A101,1,A124,<= 30,A141,A153,1,A173,1,A191,A201,1,PASS,UNFAIR
230,A13,3,A32,A43,<= 6000,A61,A73,4,A93,A101,2,A123,<= 30,A143,A152,1,A173,1,A191,A201,2,FAIL,UNFAIR
231,A14,0,A32,A40,<= 3000,A63,A75,2,A93,A101,4,A124,<= 60,A143,A153,1,A172,1,A191,A201,1,PASS,FAIR
232,A14,1,A32,A43,<= 3000,A62,A74,3,A93,A101,1,A124,<= 60,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
233,A12,1,A32,A43,<= 3000,A61,A73,4,A94,A103,2,A121,<= 30,A143,A152,1,A172,1,A191,A201,1,PASS,UNFAIR
234,A14,0,A34,A43,<= 3000,A61,A74,2,A93,A101,1,A121,<= 60,A143,A152,3,A172,2,A191,A201,1,PASS,UNFAIR
235,A11,2,A32,A43,<= 3000,A61,A71,4,A93,A101,2,A123,<= 60,A142,A152,1,A174,2,A191,A201,2,FAIL,UNFAIR
236,A12,0,A32,A40,<= 15000,A65,A71,1,A93,A101,2,A122,<= 30,A143,A152,1,A171,1,A192,A201,2,FAIL,FAIR
237,A12,1,A32,A49,<= 3000,A62,A75,4,A91,A101,2,A123,> 60,A141,A151,2,A172,1,A191,A201,2,FAIL,UNFAIR
238,A14,1,A34,A43,<= 3000,A61,A73,4,A92,A101,2,A122,<= 60,A143,A152,2,A173,1,A191,A201,1,PASS,UNFAIR
239,A11,2,A32,A43,<= 3000,A61,A75,1,A93,A103,3,A122,<= 60,A143,A152,1,A173,2,A191,A201,1,PASS,UNFAIR
240,A11,2,A32,A40,<= 3000,A65,A75,4,A92,A101,2,A123,<= 30,A141,A152,1,A173,1,A191,A201,2,FAIL,FAIR
241,A14,0,A32,A43,<= 3000,A61,A74,3,A93,A101,2,A122,<= 60,A143,A152,1,A173,2,A191,A201,1,PASS,UNFAIR
242,A11,4,A30,A41,<= 6000,A61,A75,3,A93,A101,4,A124,<= 30,A143,A153,2,A173,2,A191,A201,2,FAIL,UNFAIR
243,A14,1,A34,A49,<= 3000,A61,A73,3,A92,A101,2,A121,<= 30,A143,A152,2,A173,1,A191,A201,1,PASS,UNFAIR
244,A14,1,A31,A48,<= 6000,A63,A73,4,A92,A101,3,A121,<= 60,A143,A152,1,A172,2,A191,A201,1,PASS,FAIR
245,A14,2,A32,A49,<= 3000,A61,A74,4,A93,A101,1,A121,<= 30,A143,A152,1,A173,1,A192,A201,1,PASS,UNFAIR
246,A14,1,A34,A43,<= 3000,A61,A75,4,A93,A101,4,A121,<= 60,A143,A152,3,A173,1,A191,A201,1,PASS,UNFAIR
247,A14,0,A30,A40,<= 3000,A62,A73,4,A93,A101,1,A124,<= 60,A141,A151,1,A173,1,A191,A202,1,PASS,FAIR
248,A13,2,A32,A42,<= 3000,A61,A73,2,A93,A101,2,A121,<= 30,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
249,A14,1,A32,A43,<= 3000,A61,A71,3,A92,A102,4,A121,<= 30,A143,A151,1,A173,1,A191,A201,2,FAIL,UNFAIR
250,A11,0,A34,A40,<= 3000,A64,A74,3,A92,A101,4,A121,<= 60,A143,A152,2,A172,1,A192,A201,1,PASS,FAIR
251,A13,1,A32,A42,<= 3000,A61,A73,1,A92,A101,2,A123,<= 60,A143,A152,1,A172,1,A191,A201,1,PASS,UNFAIR
252,A12,2,A32,A40,<= 3000,A61,A73,4,A92,A103,2,A124,<= 30,A141,A152,1,A173,1,A191,A201,2,FAIL,UNFAIR
253,A14,2,A33,A42,<= 6000,A62,A73,2,A93,A101,3,A122,<= 60,A143,A152,2,A173,1,A191,A201,1,PASS,UNFAIR
254,A12,0,A32,A42,<= 3000,A65,A74,2,A93,A101,1,A123,<= 30,A143,A152,1,A173,1,A192,A201,1,PASS,FAIR
255,A12,5,A33,A43,<= 9000,A65,A73,1,A93,A101,1,A121,<= 30,A143,A152,1,A172,1,A191,A201,1,PASS,FAIR
256,A14,2,A34,A43,<= 3000,A61,A73,4,A93,A101,2,A121,<= 60,A143,A152,2,A172,1,A191,A201,1,PASS,UNFAIR
257,A11,1,A31,A43,<= 3000,A61,A73,4,A91,A101,1,A124,<= 30,A143,A153,1,A173,1,A191,A201,2,FAIL,UNFAIR
258,A14,1,A32,A41,<= 6000,A62,A72,1,A92,A101,4,A123,<= 30,A143,A152,1,A173,1,A192,A201,1,PASS,UNFAIR
259,A14,0,A34,A43,<= 3000,A62,A71,4,A92,A101,4,A121,<= 60,A143,A152,3,A172,1,A191,A201,1,PASS,UNFAIR
260,A11,1,A32,A42,<= 3000,A61,A73,2,A93,A101,2,A121,<= 30,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
261,A11,2,A32,A43,<= 3000,A61,A75,4,A92,A101,4,A123,<= 60,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
262,A11,1,A34,A40,<= 6000,A61,A75,2,A93,A101,4,A124,<= 60,A143,A153,3,A174,1,A192,A201,1,PASS,UNFAIR
263,A14,1,A34,A46,<= 3000,A61,A75,2,A92,A101,4,A124,<= 60,A141,A153,3,A172,1,A191,A201,1,PASS,UNFAIR
264,A14,0,A34,A40,<= 3000,A61,A75,3,A93,A101,4,A121,<= 60,A143,A152,2,A172,2,A191,A202,1,PASS,FAIR
265,A12,1,A32,A43,<= 3000,A61,A75,4,A93,A101,3,A123,<= 60,A143,A152,1,A173,2,A191,A201,2,FAIL,UNFAIR
266,A14,3,A34,A49,<= 9000,A65,A75,4,A93,A101,4,A121,<= 60,A143,A152,2,A173,1,A191,A201,1,PASS,FAIR
267,A14,2,A32,A43,<= 3000,A61,A72,4,A92,A101,3,A123,<= 60,A142,A152,1,A173,1,A192,A201,1,PASS,UNFAIR
268,A11,1,A32,A40,<= 9000,A61,A75,1,A91,A101,4,A122,<= 60,A143,A152,1,A174,1,A192,A202,2,FAIL,FAIR
269,A14,2,A32,A43,<= 3000,A65,A75,4,A93,A101,2,A123,<= 30,A143,A152,2,A173,1,A191,A201,1,PASS,FAIR
270,A14,1,A32,A40,<= 3000,A65,A74,4,A93,A101,3,A122,<= 60,A143,A152,1,A173,1,A191,A202,1,PASS,FAIR
271,A14,1,A34,A42,<= 3000,A63,A74,3,A92,A101,4,A123,<= 60,A143,A151,1,A173,1,A192,A201,1,PASS,FAIR
272,A12,4,A31,A40,<= 15000,A65,A71,4,A93,A102,4,A124,<= 60,A143,A153,1,A174,1,A192,A201,1,PASS,FAIR
273,A12,4,A32,A43,<= 6000,A61,A74,4,A93,A101,4,A121,<= 30,A143,A152,2,A173,1,A191,A201,2,FAIL,UNFAIR
274,A11,2,A32,A45,<= 12000,A61,A72,1,A91,A101,1,A124,<= 60,A143,A152,1,A172,1,A192,A201,2,FAIL,UNFAIR
275,A14,0,A32,A43,<= 3000,A61,A73,1,A93,A101,2,A121,<= 60,A143,A152,1,A173,2,A191,A201,1,PASS,UNFAIR
276,A14,1,A34,A43,<= 3000,A61,A73,2,A92,A101,2,A123,<= 30,A143,A152,2,A173,1,A191,A201,1,PASS,UNFAIR
277,A11,1,A32,A42,<= 3000,A65,A75,2,A91,A101,4,A122,<= 60,A143,A152,1,A172,1,A192,A201,1,PASS,FAIR
278,A14,0,A32,A42,<= 6000,A61,A72,1,A92,A101,4,A122,<= 60,A143,A152,1,A173,1,A191,A201,2,FAIL,UNFAIR
279,A14,2,A32,A43,<= 3000,A62,A73,4,A93,A101,4,A123,<= 30,A143,A151,1,A174,1,A192,A201,1,PASS,UNFAIR
280,A14,1,A34,A41,<= 6000,A64,A75,3,A93,A101,4,A124,<= 30,A143,A151,2,A173,1,A192,A201,1,PASS,FAIR
281,A14,1,A32,A42,<= 3000,A61,A73,4,A93,A101,2,A121,<= 60,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
282,A13,1,A31,A43,<= 3000,A65,A74,4,A93,A101,4,A123,<= 60,A141,A152,1,A172,1,A191,A201,1,PASS,FAIR
283,A14,1,A34,A42,<= 3000,A65,A75,4,A93,A101,4,A122,> 60,A143,A152,1,A173,1,A191,A201,1,PASS,FAIR
284,A12,2,A34,A40,<= 6000,A62,A72,4,A91,A101,2,A123,<= 60,A143,A152,1,A173,1,A192,A201,1,PASS,UNFAIR
285,A11,3,A32,A40,<= 12000,A61,A72,1,A92,A101,1,A121,<= 60,A143,A152,1,A172,1,A192,A201,1,PASS,UNFAIR
286,A11,4,A32,A41,<= 6000,A61,A74,4,A93,A101,3,A122,<= 30,A143,A152,1,A173,2,A191,A201,1,PASS,UNFAIR
287,A12,4,A33,A410,<= 9000,A62,A71,2,A93,A101,4,A124,<= 60,A143,A153,1,A174,1,A192,A201,1,PASS,UNFAIR
288,A12,1,A32,A43,<= 3000,A61,A73,4,A92,A103,4,A121,<= 60,A143,A152,2,A173,1,A192,A201,1,PASS,UNFAIR
289,A11,2,A33,A43,<= 3000,A61,A72,4,A94,A101,4,A121,<= 60,A142,A152,1,A173,1,A191,A201,2,FAIL,UNFAIR
290,A14,1,A32,A49,<= 3000,A61,A73,2,A94,A101,2,A121,<= 30,A143,A152,1,A173,1,A192,A202,1,PASS,FAIR
291,A12,3,A32,A41,<= 12000,A61,A72,1,A94,A101,4,A123,<= 30,A143,A151,1,A174,1,A192,A201,2,FAIL,UNFAIR
292,A11,2,A34,A41,<= 9000,A61,A75,2,A92,A101,4,A124,<= 60,A143,A153,2,A174,2,A192,A201,1,PASS,UNFAIR
293,A13,3,A34,A41,<= 6000,A61,A75,4,A93,A101,4,A124,<= 60,A143,A153,1,A173,1,A191,A201,1,PASS,UNFAIR
294,A14,4,A34,A49,<= 9000,A65,A75,4,A91,A101,2,A123,<= 60,A141,A152,2,A174,2,A191,A201,1,PASS,FAIR
295,A12,4,A32,A42,<= 12000,A61,A72,1,A92,A101,2,A123,<= 30,A143,A152,1,A173,1,A192,A201,2,FAIL,UNFAIR
296,A14,1,A32,A41,<= 6000,A65,A72,1,A92,A101,4,A123,<= 30,A143,A151,1,A173,1,A191,A201,1,PASS,FAIR
297,A14,0,A32,A40,<= 3000,A65,A75,4,A93,A102,2,A122,<= 60,A143,A152,1,A172,1,A191,A202,1,PASS,FAIR
298,A14,1,A32,A42,<= 3000,A61,A73,3,A93,A101,4,A121,<= 60,A143,A152,1,A173,1,A192,A201,1,PASS,UNFAIR
299,A12,1,A34,A42,<= 3000,A64,A74,3,A93,A101,2,A123,<= 60,A143,A152,2,A173,1,A192,A201,1,PASS,FAIR
300,A14,0,A32,A40,<= 3000,A61,A71,1,A92,A101,4,A121,<= 60,A143,A152,1,A171,1,A192,A201,1,PASS,UNFAIR
301,A12,3,A30,A43,<= 6000,A61,A73,4,A92,A101,1,A123,<= 60,A143,A152,1,A173,1,A192,A201,2,FAIL,UNFAIR
302,A13,2,A34,A40,<= 3000,A65,A74,4,A93,A101,2,A121,<= 60,A141,A152,2,A172,2,A191,A201,2,FAIL,FAIR
303,A11,0,A34,A40,<= 3000,A61,A74,4,A93,A102,3,A122,<= 60,A143,A152,2,A173,1,A192,A201,1,PASS,UNFAIR
304,A14,4,A34,A40,<= 12000,A63,A73,2,A93,A101,2,A124,<= 60,A141,A153,1,A173,1,A191,A201,2,FAIL,FAIR
305,A14,0,A32,A42,<= 3000,A64,A73,4,A91,A101,2,A121,<= 60,A143,A152,1,A173,1,A191,A201,1,PASS,FAIR
306,A14,2,A32,A41,<= 6000,A65,A74,2,A92,A101,4,A122,<= 30,A142,A151,1,A172,1,A191,A201,1,PASS,FAIR
307,A11,1,A32,A43,<= 3000,A62,A72,4,A94,A101,3,A124,<= 60,A143,A152,1,A172,1,A192,A201,2,FAIL,UNFAIR
308,A12,0,A32,A42,<= 3000,A61,A73,3,A92,A101,4,A121,<= 30,A143,A152,1,A173,1,A191,A201,2,FAIL,UNFAIR
309,A12,0,A32,A40,<= 3000,A61,A73,4,A94,A101,4,A121,<= 30,A143,A151,1,A172,1,A191,A201,1,PASS,UNFAIR
310,A12,4,A32,A410,<= 6000,A65,A71,3,A93,A101,4,A124,<= 60,A141,A153,1,A171,1,A192,A201,1,PASS,FAIR
311,A14,2,A32,A42,<= 6000,A62,A73,4,A93,A101,1,A123,<= 30,A142,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
312,A13,2,A32,A42,<= 6000,A61,A72,2,A92,A101,4,A123,<= 30,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
313,A12,1,A32,A40,<= 3000,A61,A74,2,A94,A101,3,A123,<= 30,A141,A152,1,A172,1,A191,A201,2,FAIL,UNFAIR
314,A13,0,A32,A40,<= 3000,A65,A72,1,A93,A101,2,A121,<= 30,A143,A152,1,A172,2,A191,A202,1,PASS,FAIR
315,A11,3,A31,A42,<= 3000,A61,A75,4,A93,A101,4,A123,<= 60,A141,A152,1,A173,1,A191,A201,2,FAIL,UNFAIR
316,A11,1,A32,A42,<= 3000,A61,A73,2,A93,A103,3,A122,<= 60,A143,A152,1,A172,2,A191,A201,1,PASS,UNFAIR
317,A12,2,A32,A42,<= 6000,A65,A73,1,A92,A101,4,A122,<= 60,A143,A152,1,A172,1,A192,A201,1,PASS,FAIR
318,A14,1,A34,A46,<= 3000,A61,A73,4,A93,A101,2,A123,<= 60,A143,A152,2,A173,1,A191,A201,1,PASS,UNFAIR
319,A11,1,A33,A42,<= 6000,A61,A75,1,A92,A101,4,A122,<= 30,A143,A152,2,A172,1,A191,A201,1,PASS,UNFAIR
320,A12,2,A34,A40,<= 6000,A61,A71,4,A94,A101,2,A123,<= 30,A143,A152,2,A174,1,A191,A201,2,FAIL,UNFAIR
321,A11,2,A32,A43,<= 3000,A61,A72,4,A91,A101,3,A122,<= 60,A143,A152,1,A173,1,A191,A201,2,FAIL,UNFAIR
322,A11,2,A32,A41,<= 3000,A61,A74,2,A93,A101,1,A124,<= 60,A143,A153,1,A174,1,A192,A201,1,PASS,UNFAIR
323,A11,1,A32,A42,<= 3000,A64,A73,4,A93,A101,2,A123,<= 30,A143,A152,1,A173,1,A191,A201,1,PASS,FAIR
324,A14,1,A34,A40,<= 3000,A61,A73,4,A92,A101,3,A121,<= 60,A143,A152,2,A173,1,A191,A201,1,PASS,UNFAIR
325,A11,0,A34,A40,<= 6000,A61,A74,1,A93,A101,4,A121,<= 60,A143,A152,2,A172,1,A191,A202,1,PASS,FAIR
326,A14,1,A34,A42,<= 6000,A65,A75,2,A93,A101,4,A122,<= 60,A143,A151,1,A173,1,A192,A201,1,PASS,FAIR
327,A14,2,A32,A40,<= 3000,A64,A74,4,A92,A101,3,A123,<= 60,A143,A152,1,A173,2,A192,A201,1,PASS,FAIR
328,A13,3,A32,A43,<= 6000,A61,A75,4,A93,A101,2,A123,<= 60,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
329,A12,0,A32,A43,<= 3000,A61,A75,4,A93,A101,4,A123,<= 30,A143,A152,1,A173,2,A191,A201,1,PASS,UNFAIR
330,A11,2,A34,A41,<= 9000,A61,A71,2,A93,A101,4,A124,> 60,A143,A153,2,A174,1,A192,A201,1,PASS,UNFAIR
331,A14,1,A34,A46,<= 3000,A62,A73,4,A92,A101,2,A121,<= 60,A143,A152,2,A173,1,A191,A201,2,FAIL,UNFAIR
332,A12,5,A32,A40,<= 9000,A62,A72,4,A92,A101,2,A122,<= 30,A143,A152,1,A174,1,A191,A201,2,FAIL,UNFAIR
333,A14,4,A34,A41,<= 12000,A62,A73,2,A92,A101,4,A123,<= 30,A141,A151,2,A172,1,A191,A201,2,FAIL,UNFAIR
334,A11,2,A30,A42,<= 6000,A61,A75,3,A93,A101,4,A124,<= 30,A141,A151,2,A173,2,A191,A201,2,FAIL,UNFAIR
335,A11,0,A34,A42,<= 6000,A61,A73,1,A91,A101,4,A121,<= 60,A143,A151,1,A174,1,A192,A201,2,FAIL,UNFAIR
336,A12,1,A32,A43,<= 3000,A61,A72,2,A92,A103,4,A122,<= 30,A143,A152,1,A172,1,A191,A201,1,PASS,UNFAIR
337,A11,1,A32,A44,<= 3000,A65,A73,4,A92,A101,2,A123,<= 30,A143,A151,1,A173,1,A191,A201,2,FAIL,FAIR
338,A11,2,A32,A42,<= 6000,A61,A73,4,A93,A101,4,A122,<= 30,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
339,A12,0,A32,A42,<= 3000,A61,A73,4,A91,A101,2,A123,<= 60,A143,A152,1,A172,1,A191,A201,1,PASS,UNFAIR
340,A12,2,A34,A46,<= 6000,A61,A72,2,A92,A101,4,A124,<= 30,A143,A153,2,A173,1,A192,A201,1,PASS,UNFAIR
341,A11,1,A32,A42,<= 6000,A61,A74,1,A92,A101,4,A123,<= 30,A143,A151,1,A172,1,A191,A201,1,PASS,UNFAIR
342,A12,1,A32,A43,<= 6000,A63,A72,1,A94,A101,3,A121,<= 30,A143,A151,1,A173,1,A191,A201,1,PASS,FAIR
343,A12,1,A32,A49,<= 6000,A61,A75,1,A93,A102,1,A121,<= 60,A141,A152,1,A174,1,A192,A201,1,PASS,UNFAIR
344,A13,0,A32,A40,<= 6000,A61,A72,1,A93,A103,1,A122,<= 60,A143,A152,1,A172,2,A191,A201,1,PASS,UNFAIR
345,A14,1,A34,A43,<= 3000,A61,A73,4,A92,A101,2,A123,<= 60,A143,A152,1,A172,1,A191,A201,1,PASS,UNFAIR
346,A12,1,A34,A43,<= 3000,A61,A72,4,A93,A103,4,A121,<= 30,A143,A152,2,A173,1,A191,A201,1,PASS,UNFAIR
347,A12,2,A32,A43,<= 6000,A63,A71,1,A92,A101,4,A124,<= 30,A143,A151,1,A171,1,A191,A201,1,PASS,FAIR
348,A14,0,A33,A49,<= 3000,A62,A73,1,A93,A101,2,A121,<= 60,A143,A152,2,A172,1,A191,A201,1,PASS,UNFAIR
349,A12,0,A34,A46,<= 3000,A64,A75,4,A93,A101,3,A124,<= 60,A143,A153,2,A173,2,A191,A201,2,FAIL,FAIR
350,A14,0,A32,A44,<= 3000,A61,A72,1,A92,A101,4,A121,<= 30,A143,A151,1,A173,1,A192,A201,1,PASS,UNFAIR
351,A12,0,A32,A42,<= 3000,A61,A73,1,A92,A101,2,A123,<= 30,A143,A152,1,A173,1,A191,A202,2,FAIL,FAIR
352,A14,1,A34,A41,<= 6000,A65,A71,2,A93,A101,4,A124,<= 60,A143,A152,1,A174,1,A192,A201,1,PASS,FAIR
353,A11,1,A30,A43,<= 9000,A61,A73,4,A93,A101,2,A122,<= 30,A143,A151,2,A173,1,A192,A201,2,FAIL,UNFAIR
354,A14,0,A32,A46,<= 3000,A63,A75,4,A93,A101,4,A124,<= 60,A143,A153,1,A173,1,A192,A201,1,PASS,FAIR
355,A12,2,A32,A40,<= 3000,A61,A72,4,A93,A101,2,A121,<= 30,A142,A152,1,A172,1,A191,A201,2,FAIL,UNFAIR
356,A14,1,A34,A43,<= 3000,A65,A75,1,A93,A102,4,A121,<= 60,A143,A152,1,A173,1,A192,A201,1,PASS,FAIR
357,A14,3,A33,A43,<= 6000,A61,A73,4,A93,A101,2,A123,<= 30,A143,A152,2,A174,1,A192,A201,2,FAIL,UNFAIR
358,A14,1,A32,A43,<= 3000,A61,A73,4,A94,A101,2,A121,<= 30,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
359,A11,2,A32,A42,<= 3000,A61,A74,4,A92,A101,4,A121,<= 30,A143,A151,1,A173,1,A191,A201,2,FAIL,UNFAIR
360,A12,1,A32,A46,<= 3000,A65,A73,4,A93,A101,4,A124,> 60,A143,A153,1,A173,1,A191,A201,1,PASS,FAIR
361,A13,1,A32,A43,<= 6000,A65,A75,2,A93,A101,3,A123,<= 60,A143,A152,1,A174,1,A191,A201,1,PASS,FAIR
362,A13,1,A33,A40,<= 3000,A61,A73,2,A92,A101,2,A123,<= 60,A142,A152,2,A173,1,A192,A201,1,PASS,UNFAIR
363,A14,0,A32,A42,<= 3000,A61,A73,1,A94,A101,2,A122,<= 30,A143,A151,1,A173,1,A191,A201,1,PASS,UNFAIR
364,A11,1,A32,A42,<= 3000,A61,A71,4,A93,A101,1,A123,<= 30,A143,A152,1,A171,1,A191,A201,2,FAIL,UNFAIR
365,A14,1,A32,A49,<= 3000,A61,A74,2,A93,A101,4,A123,<= 60,A143,A152,1,A173,1,A192,A201,1,PASS,UNFAIR
